sentiment,word
1,abundance
1,abundant
-1,abundantly
-1,abusable
-1,abuse
-1,abusing
-1,abusive
1,abusively
1,abut
1,abuzz
1,abysm
1,abysmal
-1,abysmally
-1,abyss
-1,abyssal
-1,academese
1,academic
-1,academical
-1,academically
1,academician
1,academicism
1,academism
-1,acalculia
-1,acanthamoeba
1,acanthocephalan
-1,acanthotic
-1,acaricide
-1,acarophobia
1,acausal
-1,accede
-1,accelerant
1,accelerate
-1,acceleration
-1,accelerator
1,accelerometer
-1,accentual
-1,accentuate
-1,accentuation
1,accept
-1,acceptability
1,acceptable
1,acceptableness
1,acceptably
1,acceptance
1,acceptation
1,accesible
1,access
1,accessable
1,accessary
-1,accessibility
1,accessible
1,accessibly
1,accession
1,accessories
1,accessory
-1,accident
-1,accidental
-1,accidentally
-1,accidently
-1,accidie
1,acclaim
1,acclaimed
1,acclamation
1,acclimate
1,accolade
1,accommodate
-1,accommodation
1,accommodationist
-1,accommodative
1,accompaniment
1,accompany
-1,accompanying
1,accomplish
1,accomplishable
1,accomplished
1,accomplishes
1,accomplishment
1,accord
-1,accordait
1,accordance
1,accordant
1,accordantly
1,accordingly
1,accordion
1,accost
1,accountability
1,accountable
-1,accountant
1,accountholder
1,accoutre
1,accoutrement
1,accredit
-1,accreditation
1,accrete
1,accretion
-1,accretionary
1,accrual
-1,accrue
1,acculturation
1,acculturative
-1,accumulate
1,accumulation
1,accumulator
1,accuracy
1,accurate
1,accurately
1,accurse
-1,accurst
-1,accusal
-1,accusation
-1,accusative
-1,accusatory
-1,accuse
-1,accused
-1,accusingly
1,ace
-1,acedia
-1,acentric
1,acerate
-1,acerb
-1,acerbate
-1,acerbic
-1,acerbity
1,acerose
1,acetabular
1,acetabulum
-1,acetaminophen
-1,acetate
-1,acetazolamide
-1,acetify
1,acetoacetate
-1,acetobacter
1,acetone
1,acetonitrile
-1,acetophenone
1,acetose
-1,acetyl
-1,acetylacetone
-1,acetylcysteine
-1,acetylene
-1,achalasia
-1,ache
1,achene
-1,acheronian
-1,acherontic
1,achievability
1,achievable
1,achieve
1,achieved
1,achievement
1,achiever
1,achillea
-1,achilles
-1,aching
1,achingly
-1,achkan
-1,achlorhydria
-1,achondroplasia
-1,achondroplasty
-1,achosi
1,achromat
1,achromatic
1,achromatism
-1,achromatopsia
-1,achte
-1,achy
1,acicular
-1,acid
1,acid-fast
-1,acidic
-1,acidification
-1,acidify
1,acidity
-1,acidly
1,acidophil
1,acidophile
1,acidophilic
-1,acidophilus
-1,acidulate
-1,acidulent
-1,aciduria
1,acini
1,ack-ack
1,ackee
1,acknowledge
1,acknowledgeable
1,acknowledgement
1,acknowledgment
-1,acne
-1,acned
-1,acnielsen
1,acoel
-1,acold
-1,acolyte
-1,aconite
-1,acoustic
-1,acoustical
-1,acoustically
1,acoustics
1,acqua
1,acquaint
1,acquaintance
1,acquaintanceship
-1,acquiesce
-1,acquiescence
1,acquiescent
1,acquire
1,acquirement
1,acquireth
1,acquisition
-1,acquisitive
-1,acquisitiveness
1,acquit
1,acquittal
-1,acral
-1,acrid
-1,acridity
1,acrimoniously
-1,acrimoniousness
1,acrimony
1,acrobat
1,acrobatic
1,acrobatically
-1,acromegalic
1,acromegaly
1,acromion
1,acronym
-1,acronymic
-1,acrophobia
-1,acrophobic
1,acroread
1,across-the-board
-1,acrotomophilia
1,acrylic
-1,actara
1,acth
-1,action-comedy
-1,actioner
1,activated
1,activating
1,activation
1,activcard
1,active
1,active-duty
-1,activewear
1,activity
1,actomyosin
-1,actorly
1,actual
1,actualise
-1,actuality
1,actualization
1,actualize
1,actuate
1,actuated
1,actuation
1,actuator
-1,acuate
1,acuity
1,acumen
1,acuminate
1,acutance
1,acute
-1,acutely
-1,acylanilide
-1,ad-lib
-1,adage
-1,adagia
1,adagio
1,adaiah
-1,adamant
-1,adamantine
1,adamantium
-1,adamantly
1,adapt
1,adaptability
-1,adaptable
1,adaptation
1,adaptational
1,adaptations
1,adaptative
1,adapted
1,adapter
1,adaption
1,adaptive
1,adaptively
1,adaptiveness
1,adaptivity
1,adaptor
-1,adblue
-1,adcirca
1,add
1,add-in
-1,add-on
-1,addendum
-1,adder
1,addict
-1,addicted
-1,addicting
-1,addiction
-1,addictive
-1,addictively
1,addition
1,additional
1,additionality
1,additionally
1,additive
-1,additivity
-1,addle
1,addressee
1,addresser
1,addressing
1,adduce
-1,adduction
1,adductor
-1,adegau
-1,adelgid
-1,adenocarcinoma
-1,adenoma
-1,adenopathy
-1,adenophyllum
-1,adenosis
1,adept
1,adeptly
1,adeptness
1,adequacy
1,adequate
1,adequately
-1,adequateness
1,adharma
1,adherence
1,adherent
-1,adhesin
1,adhesion
1,adhesive
1,adiabatic
1,adieu
-1,adipocere
1,adipocyte
1,adiponectin
-1,adiponitrile
-1,adipose
1,adium
1,adjacent
-1,adjectival
-1,adjective
1,adjoin
-1,adjourn
1,adjournment
1,adjudge
1,adjudicate
1,adjudication
1,adjudicator
1,adjunct
1,adjunction
1,adjunctive
-1,adjuration
-1,adjure
1,adjust
1,adjustability
1,adjustable
1,adjustive
1,adjustment
-1,adjutant
1,adjuvant
-1,adler
-1,admin
-1,administer
1,administrability
1,administrable
1,administrate
1,administration
1,administrative
1,administrator
-1,administratrix
1,admirable
1,admirably
-1,admiral
1,admiration
1,admire
1,admired
1,admirer
-1,admiringly
1,admissibility
1,admissible
1,admission
1,admit
-1,admitted
1,admittedly
1,admixture
-1,admonish
-1,admonisher
-1,admonishing
-1,admonishment
-1,admonition
-1,admonitory
1,adnaic
1,adnate
-1,adnexal
-1,ado
1,adobe
1,adolescence
1,adolescent
-1,adonic
1,adopt
1,adoption
1,adorable
1,adorably
1,adoration
1,adore
1,adorer
1,adoring
1,adoringly
1,adorn
1,adornment
1,adranika
-1,adrenal
1,adrenalin
1,adrenaline
-1,adrenalize
1,adrenalized
1,adrenergic
1,adrenochrome
-1,adrenocortical
-1,adrenoleukodystrophy
1,adric
-1,adrift
-1,adrodd
1,adroit
1,adroitly
1,adroitness
-1,adronitis
-1,ads
-1,adsorb
-1,adsorbent
1,adsorption
1,adsorptive
1,adulate
1,adulation
1,adulator
1,adult
-1,adulterant
-1,adulterate
1,adulteration
-1,adulterer
-1,adulterine
-1,adultery
1,adulthood
1,adumbrate
-1,adumbrative
1,advance
1,advancement
1,advantage
1,advantageous
1,advantageously
1,advantageousness
1,advective
-1,advent
-1,adventive
1,adventure
1,adventurer
1,adventuresome
-1,adventurism
-1,adventurist
1,adventurous
1,adventurously
-1,adverb
-1,adverbial
-1,adversarial
1,adversarialism
-1,adversary
1,adversative
-1,adverse
-1,adversely
-1,adverseness
-1,adversity
1,advert
1,advertent
1,advertise
-1,advertisement
-1,advertising
1,advertize
-1,adverts
1,advice
-1,advil
1,advisability
1,advisable
1,advisably
1,advise
1,advising
1,advisor
1,advisory
1,advocacy
1,advocate
1,advocating
1,advocation
1,advocator
-1,adynamic
1,adze
1,aedh
-1,aedicula
1,aedicule
-1,aegae
1,aegir
-1,aegle
-1,aeolotropic
-1,aequorea
-1,aequorin
-1,aerate
-1,aerator
-1,aerdy
-1,aerial
-1,aerialist
-1,aerially
-1,aerification
-1,aeriform
-1,aero
1,aerobatic
-1,aerobee
1,aerobics
1,aerodrome
1,aerodynamic
1,aerodynamicist
1,aeronaut
-1,aeronautic
-1,aeronautical
1,aeronomy
-1,aerophobia
-1,aeroporti
-1,aeroshell
1,aerosol
-1,aerosolization
-1,aerosolize
-1,aerospace
-1,aerostat
-1,aerostatic
1,aerotolerant
-1,aeruginosa
-1,aery
1,aesthesia
1,aesthete
-1,aesthetic
1,aesthetical
1,aesthetically
1,aesthetician
-1,aestheticism
1,aestheticist
-1,aestivate
-1,aestivation
-1,aethiophysa
-1,afeard
-1,afebrile
1,affability
1,affable
1,affably
1,affair
1,affaire
-1,affectation
-1,affectedly
-1,affectedness
1,affectingly
-1,affection
1,affectional
1,affectionate
1,affectionately
1,affectionateness
1,affective
1,affectively
-1,affectivity
1,afferent
1,affiance
1,afficionado
-1,affidavit
1,affiliate
1,affiliated
1,affiliation
-1,affiliative
-1,affinal
-1,affine
-1,affinity
1,affirmable
-1,affirmance
1,affirmation
1,affirmative
-1,affirmatively
1,affirmativeness
1,affirmatory
1,affix
-1,affixation
-1,afflict
-1,affliction
-1,afflictive
1,affluent
1,afford
1,affordability
1,affordable
1,affordably
-1,afforest
-1,affray
1,affricate
-1,affright
-1,affront
1,affusion
1,aficionado
1,aficionados
-1,afire
1,aflame
-1,aflatoxin
1,aflcio
-1,afloat
-1,aflutter
1,afnorth
1,afore
1,aforesaid
1,aforetime
-1,afoul
-1,afraid
-1,afraidness
-1,afromontane
1,afscme
1,afsoc
-1,after-thought
1,aftercare
-1,afterdamp
1,afterdeck
1,aftergood
1,afterimage
1,afterlife
-1,aftermath
1,afterparty
1,afterpiece
1,aftershave
1,aftershock
-1,afterthought
1,afterword
1,aga
1,againe
-1,against
-1,agalactiae
1,agarose
1,agate
-1,agayne
-1,agaynst
-1,agba
1,age
-1,age-old
-1,ageism
1,agelessness
-1,agendum
1,agent
-1,agential
-1,agglomerate
-1,agglomeration
1,agglutinate
1,agglutinative
-1,aggradation
1,aggrandize
1,aggrandizement
-1,aggravate
-1,aggravated
-1,aggravating
-1,aggravation
-1,aggravator
1,aggregate
1,aggregation
1,aggregator
1,aggression
-1,aggressive
-1,aggressively
1,aggressiveness
-1,aggressivity
-1,aggressor
-1,aggrieve
-1,aggrievedness
1,aghast
-1,aghastness
1,agile
1,agilely
1,agility
1,agio
1,agiotage
-1,agitate
-1,agitated
-1,agitatedly
-1,agitation
1,agitative
-1,agitator
-1,agiter
-1,agitprop
-1,agkistrodon
1,agleam
-1,agli
1,aglitter
1,aglow
1,agn
-1,agnate
-1,agnatic
1,agnise
1,agnize
-1,agnosia
1,agnosticism
-1,agobot
1,agog
-1,agonist
1,agonistic
1,agonistical
1,agonizing
-1,agonizingly
-1,agony
-1,agoraphobia
-1,agoraphobic
-1,agrammatic
-1,agrammatism
1,agramonte
-1,agraphia
1,agrarian
1,agrarianism
1,agre
1,agree
1,agreeability
1,agreeable
1,agreeableness
1,agreeably
1,agreed
1,agreement
1,agricultural
1,agriculturally
1,agriculture
-1,agromania
1,agronomic
1,aground
1,agst
1,aguardiente
-1,ague
-1,aguish
1,ahab
1,ahamkara
1,ahead
-1,ahem
-1,ahistorical
-1,ahriman
1,aid
-1,aides
-1,aids
-1,aikido
-1,ailment
1,aim
-1,aimless
-1,aimlessly
-1,aimlessness
1,aimpoint
1,ain
1,aioli
1,air-dry
1,air-tight
-1,airbase
-1,airboat
-1,airborne
-1,airbox
1,airbrush
1,airburst
-1,aircraft
1,aircrew
1,airdrome
1,airfare
-1,airfield
1,airflow
1,airfoil
1,airgialla
-1,airheaded
1,airhorn
1,airily
1,airlift
1,airlike
-1,airline
1,airliner
-1,airlock
1,airman
1,airmanship
-1,airmobile
1,airpark
1,airplane
-1,airpocalypse
1,airport
1,airship
-1,airsick
-1,airstream
-1,airstrike
-1,airstrip
-1,airtight
-1,airwalk
-1,airy
1,aitchison
1,ajar
1,aka
-1,akathisia
1,akinesia
1,akkub
1,akshobhya
-1,akuapem
-1,alabaster
1,alabastron
1,alacrity
1,aladdin
1,aladhadh
1,alae
-1,alamaldjin
1,alamosa
1,alamshar
-1,alappat
-1,alarm
-1,alarmed
-1,alarming
-1,alarmingly
-1,alarmism
-1,alarmist
1,alarplasty
-1,alaru
-1,alaskan
1,alastair
-1,albatross
-1,albinism
-1,albinistic
-1,albino
-1,albret
-1,albufera
1,albumin
-1,albuminuria
1,alchemic
1,alchemical
1,alchemist
1,alchemy
-1,alcholism
-1,alciphron
1,alcohol
1,alcohol-soluble
-1,alcoholic
-1,alcoholism
1,alcopop
1,alcove
-1,alcuni
1,alcyone
-1,aldactone
-1,aldehyde
1,alder
1,alderman
-1,aldobrandino
1,aldur
1,ale
-1,aleatoric
-1,aleatory
1,alehouse
1,aleksanteri
1,alencon
-1,alert
-1,alerter
-1,aleve
1,alexandrite
1,alexithymia
1,aleynikov
1,alfalfa
-1,alfie
-1,alfinez
1,alfo
-1,alfuzosin
1,alga
1,algebra
1,algebraic
1,algebraical
-1,algid
1,alginate
-1,algophobic
1,algorithm
-1,algorithmic
1,algorithmically
-1,algy
-1,alhama
1,alias
-1,alibech
1,alick
1,alidade
1,alien
1,alien-like
-1,alienable
1,alienage
-1,alienate
1,alienated
-1,alienating
-1,alienation
-1,alight
1,align
-1,alignment
1,aliment
1,alimental
1,alimentary
1,alimentation
-1,alimony
1,alinda
1,aline
-1,alinement
-1,aliquam
-1,aliskiren
-1,alita
1,alitame
1,alive
-1,aliweb
-1,alizarin
1,all-around
-1,all-cause
1,all-important
1,all-inclusive
-1,all-metal
1,all-out
1,all-powerful
-1,all-purpose
1,all-round
1,all-time
-1,allamah
-1,allative
1,allay
1,allayer
-1,allegation
-1,allegations
-1,allege
1,alleged
-1,allegedly
-1,allegement
-1,allegiance
1,allegience
1,allegoric
-1,allegorical
1,allegorically
-1,allegory
1,allegretto
1,allegro
-1,allele
-1,allergen
-1,allergic
-1,allergist
-1,allergy
-1,alleviant
1,alleviate
1,alleviation
-1,alleviative
-1,alleviator
-1,alley
-1,alleyway
1,allholy
-1,alliance
-1,alligator
1,alliterate
-1,alliteration
1,alliterative
1,allmouth
-1,allmovie
1,allocate
1,allocation
1,allocative
1,allocentric
-1,allodial
-1,allodium
1,allodynia
-1,allograft
-1,allophone
1,allophonic
1,alloplastic
-1,allot
1,allotment
1,allotrope
1,allottee
1,allowable
1,allowably
1,allowance
1,allowed
1,allowing
1,alloy
-1,alloyed
1,allspice
1,allstar
-1,allude
-1,allure
1,allurement
1,alluring
1,alluringly
-1,allusion
1,allusive
-1,alluvial
-1,alluvion
1,ally
1,allylamine
1,allylic
1,almighty
1,almond
1,almoner
-1,almshouse
1,aloft
-1,alone
1,alone-time
-1,aloneness
1,alongshore
-1,aloof
-1,aloofness
-1,alopecia
1,aloud
1,alowe
-1,alpaca
1,alpenglow
1,alpha
1,alpinism
-1,alprazolam
-1,alprostadil
-1,alqaeda
1,alright
-1,also-ran
1,alt
1,altar
1,altavista
1,altazimuth
1,altbier
-1,alter
1,alterability
1,alterable
1,alteration
-1,alterations
-1,alterative
-1,altercate
-1,altercation
-1,altered
-1,alterity
-1,alternaria
-1,alternata
1,alternate
-1,alternation
1,alternative
1,alternatively
1,althena
-1,altima
1,altimeter
1,altissimo
1,altitude
1,altmer
1,alto
1,altruism
1,altruist
1,altruistic
1,altruistically
-1,altschmerz
-1,alu
-1,alula
1,aluminum
1,alumni
1,alumnus
-1,alun
-1,alunite
1,alveolus
-1,alzheimer
-1,amabel
1,amalekite
1,amalgamate
1,amalgamation
1,aman
1,amaretto
1,amarone
-1,amateur
-1,amateurish
-1,amateurishly
1,amateurishness
1,amative
1,amatory
1,amavasya
-1,amaze
1,amazed
1,amazement
1,amaziah
1,amazing
-1,amazonia
1,amazonite
-1,ambedo
1,ambi
1,ambiance
1,ambidexterity
-1,ambidextrous
1,ambience
1,ambient
-1,ambiguity
-1,ambiguous
-1,ambiguously
1,ambit
1,ambition
-1,ambitions
1,ambitious
1,ambitiously
1,ambivalence
-1,ambivalent
-1,ambiversion
-1,amble
-1,ambled
-1,amblyomma
1,amblyopic
-1,amblypygi
1,ambo
-1,ambrosia
1,ambrosial
1,ambrosian
1,ambulance
-1,ambulation
-1,ambuscade
1,ambush
1,ambystoma
-1,amcinonide
-1,ameba
-1,amelanistic
-1,amelia
1,ameliorate
1,amelioration
1,ameliorative
1,amenability
1,amenable
-1,amend
-1,amended
-1,amendment
-1,amends
1,amenity
-1,amercement
-1,amerciable
1,amergin
1,americana
1,americanism
-1,americanization
1,amethyst
1,amethystine
1,amiability
1,amiable
1,amiably
1,amicability
1,amicable
1,amicableness
1,amicably
-1,amid
1,amide
1,amidine
-1,amidinium
-1,amidst
-1,amiga
-1,amiloride
-1,amine
-1,aminoaciduria
-1,aminophylline
-1,aminorex
-1,amiss
1,amitabha
-1,amitiza
1,amittai
1,amity
-1,amiyumi
-1,amlodipine
1,amminadab
-1,ammo
1,ammonification
-1,ammonium
1,ammophila
-1,ammoxidation
-1,ammunition
1,amnesia
-1,amnesiac
1,amnesic
-1,amnestic
1,amnesty
1,amobarbital
-1,amoeba
-1,amoebic
-1,amoeboid
1,amoghasiddhi
-1,amok
-1,amoral
-1,amorality
1,amorino
1,amorous
1,amorousness
-1,amorphous
-1,amorth
-1,amortize
1,amou
1,amouage
1,amount
1,amounts
1,amouse
1,amperage
1,ampere
1,amphetamine
1,amphibian
-1,amphiesma
-1,amphimallon
-1,amphipod
-1,amphiprion
-1,amphisbaena
-1,amphisbaenia
1,amphitheater
1,amphotericin
1,ample
1,amplest
1,amplif
1,amplification
1,amplifier
1,amplify
1,amplitude
1,amply
1,ampoule
1,ampulla
1,ampullary
-1,amputated
-1,amputation
1,amsl
1,amuck
1,amulet
-1,amurdad
1,amuse
1,amusement
1,amusing
1,amusingly
1,amusive
-1,amwell
1,amygdala
1,amyloid
1,amyloidal
1,amylum
-1,amyraldism
-1,anabaptism
-1,anachronic
-1,anachronism
-1,anachronistic
-1,anacreontic
-1,anaerobe
1,anaglyph
1,anakam
-1,anal
1,analogical
-1,analogically
-1,analogy
-1,analphabetism
1,analysand
1,analysis
1,analytic
1,analytical
1,analytically
1,analyticity
1,analyzability
1,anamnesis
-1,anamorphic
1,anangu
1,anapana
-1,anapest
-1,anapestic
1,anaphoric
1,anaphrodisiac
-1,anaphylactic
-1,anaplastic
1,anaplasty
-1,anarchic
-1,anarchical
-1,anarchically
1,anarchism
-1,anarchist
-1,anarchistic
1,anarchy
1,anasarca
-1,anastomose
1,anat
1,anathema
1,anathematise
1,anathematize
-1,anathemise
1,anatman
1,anatomia
1,anatomic
-1,anatomical
-1,anatomist
1,anatomy
-1,anatta
1,ancestor
-1,ancestral
1,ancestry
1,ancholme
1,anchor
-1,anchorite
-1,anchoritic
1,anchorman
1,anchorperson
-1,anchovy
1,anchusa
-1,ancient
-1,anciently
1,ancillary
-1,andante
1,andantino
-1,androcentrism
1,androgel
1,androgen
-1,androgyne
1,androgyny
1,android
-1,andromachi
-1,andsaid
-1,andyl
-1,anecdotal
-1,anecdote
-1,anecdotic
-1,anecdotical
-1,anechoic
1,anecic
1,anekantavada
-1,anekntavda
1,anele
1,anemia
-1,anemic
-1,anemoia
-1,anencephalic
-1,anencephaly
-1,anesthetic
1,anesthetize
-1,anethole
1,aneuploidy
-1,aneurysm
-1,aneurysmal
1,anew
-1,anfo
-1,angarkha
1,angel
1,angelic
1,angelical
1,angelically
1,angelique
1,angelman
-1,anger
-1,angered
1,angie
-1,angina
-1,angioedema
-1,angiofibroma
-1,angiography
-1,angiokeratoma
-1,angioma
-1,angiosperm
1,angiotensin
1,angler
1,anglerfish
1,anglesite
1,angleworm
-1,anglican
-1,anglicism
1,anglomania
1,anglophile
1,anglophilia
1,angrier
-1,angriest
-1,angrily
-1,angry
-1,angst
-1,anguish
-1,anguished
1,angular
1,angularity
-1,angulate
-1,angulation
-1,anhedonia
-1,anhydride
-1,aniccam
1,aniconic
1,anicteric
1,anil
-1,anile
1,anima
1,animacy
-1,animadversion
1,animalistic
-1,animality
1,animate
1,animated
-1,animatedly
1,animating
1,animation
1,animator
-1,animatronic
-1,anime
-1,animism
-1,animistic
-1,animosity
1,animus
-1,anion
1,anionic
-1,aniridia
1,anise
1,aniseikonia
1,anisogamy
1,anisometropia
1,anisota
-1,anisotropic
-1,anisotropy
-1,ankle
-1,ankle-high
-1,anklet
1,ankrd
-1,ankylosaur
1,annabel
1,annagh
-1,annals
-1,anneal
-1,annelid
-1,annelidan
-1,annihilate
1,annihilating
-1,annihilation
-1,annihilative
1,annihilator
1,anniversary
-1,annotate
1,annotation
1,announced
1,announcements
1,announcer
1,announces
1,announcing
1,annoy
-1,annoyance
-1,annoyed
-1,annoying
-1,annoyingly
-1,annuitant
-1,annuity
1,annul
1,annular
1,annulate
1,annulet
1,annulled
1,annulment
1,annuloplasty
1,annunciation
-1,annwn
-1,anny
-1,anode
-1,anodyne
1,anoint
-1,anomalous
-1,anomalousness
-1,anomaly
-1,anomia
1,anomic
1,anonima
-1,anonychia
-1,anonym
1,anonymity
-1,anopinion
-1,anorak
-1,anorectal
-1,anorectic
-1,anorexia
-1,anorexic
1,anorexigenic
-1,anorgasmia
-1,anosmia
-1,anosognosia
-1,anovulan
1,anovulation
-1,anovum
1,ansambel
-1,ansatz
-1,anserine
1,ansi
-1,anslinger
1,answerability
1,answerable
-1,ant
1,antabuse
-1,antacid
1,antagonism
-1,antagonist
-1,antagonistic
-1,antagonize
1,antarctic
-1,antartica
-1,antecede
-1,antecedent
1,antecedently
1,antechamber
-1,antedat
-1,antediluvian
-1,antegrade
-1,antelope
-1,antemedial
-1,antemedian
-1,antenatal
-1,antenatally
1,antenna
-1,antepartum
1,anteriorly
1,anteroconid
-1,anterolateral
1,anteromedial
-1,anteroposterior
-1,anthelmintic
1,anthem
1,anthemic
1,antheridium
1,anthesteria
-1,anthill
1,anthology
-1,anthomyiidae
-1,anthracycline
-1,anthraquinone
-1,anthrax
-1,anthropic
-1,anthropo
1,anthropocentric
1,anthropocentrism
-1,anthropoid
1,anthropological
-1,anthropologically
-1,anthropologist
1,anthropology
1,anthropomorphic
-1,anthropomorphism
1,anthropomorphize
1,anthroponym
-1,anthropophagite
-1,anthropophagus
-1,anthropophagy
-1,anti
1,anti-bacterial
-1,anti-catholic
-1,anti-feminist
1,anti-fungal
-1,anti-hero
1,anti-intellectual
1,anti-semite
-1,anti-semitism
-1,anti-woman
1,antiaircraft
1,antiallergic
-1,antiandrogen
-1,antiarrhythmic
1,antibacterial
1,antibiotic
1,antibody
1,antic
1,anticapitalist
1,anticausative
1,anticholinergic
-1,antichrist
-1,antichristian
1,anticipant
1,anticipate
1,anticipation
1,anticipative
-1,anticipator
-1,anticlimactic
-1,anticlimax
-1,anticoagulant
-1,anticommunism
-1,anticommunist
-1,anticonvulsant
-1,anticorporate
1,anticorruption
-1,antidemocratic
-1,antidepressant
-1,antiderivative
-1,antidiarrheal
-1,antidote
-1,antidromic
-1,antient
-1,antiestablishment
-1,antifascist
-1,antifeedant
-1,antifeminism
1,antifeminist
1,antiferromagnet
1,antifertility
1,antifungal
-1,antigay
-1,antigen
-1,antigenically
-1,antigenicity
-1,antigovernment
-1,antigraft
1,antigravity
-1,antigrowth
1,antihelix
-1,antihero
1,antihistamine
-1,antihistaminic
1,antihydrogen
-1,antihypertensive
1,antiliberal
1,antimalarial
1,antimatter
1,antimension
-1,antimicrobial
-1,antimicrobic
1,antimilitarism
-1,antimineralocorticoid
-1,antimissile
-1,antimonial
1,antimonopoly
-1,antimony
1,antimycotic
-1,antineoplastic
1,antineutron
1,antinociceptive
1,antinomian
1,antinomianism
-1,antinomy
1,antioxidant
1,antiparallel
1,antiparasitic
1,antipasti
-1,antipathetic
-1,antipathetical
1,antipathy
1,antipersonnel
1,antiperspirant
-1,antiphlogistic
1,antiphonal
-1,antiplatelet
1,antiproton
1,antiprotozoal
-1,antipruritic
1,antipsychotic
1,antiquark
-1,antiquate
1,antiquated
1,antique
-1,antiqued
-1,antiquity
-1,antiracism
-1,antirealist
-1,antiscience
-1,antiscientific
-1,antiscorbutic
-1,antisemitism
-1,antiseptic
1,antislavery
-1,antisocial
-1,antispasmodic
1,antistatic
1,antisubmarine
1,antitank
1,antithetic
1,antithetical
-1,antitoxin
-1,antitrust
1,antitumor
-1,antitussive
-1,antitype
-1,antivenin
-1,antivenom
-1,antler
-1,antlion
-1,antonym
1,antonymy
1,antorbital
-1,antrectomy
1,antrim
1,antrum
-1,antsiness
-1,antsy
-1,antwerp
-1,anumana
1,anuran
-1,anus
-1,anvil
-1,anxiety
1,anxiogenic
1,anxiolytic
-1,anxious
-1,anxiously
-1,anxiousness
-1,anyhow
1,aodh
-1,aorn
1,apac
1,apace
1,apanage
-1,apart
-1,apartheid
1,apatheia
-1,apathetic
-1,apathetically
-1,apathy
1,apatite
-1,ape
1,apeiron
-1,apelike
-1,apeman
-1,aperient
-1,aperiodic
1,aperitif
1,aperitivo
1,aperol
-1,aperture
1,apex
1,apfelstrudel
-1,apha
-1,aphaenogaster
-1,aphasia
-1,aphasic
-1,aphasiology
-1,aphid
-1,aphonic
1,aphorism
1,aphoristic
-1,aphotic
1,aphrodisia
1,aphrodisiac
1,aphrodisiacal
1,aphrodite
-1,aphthae
-1,apiarist
-1,apiary
1,apical
1,apically
1,apiculate
-1,apish
1,aplanatic
-1,aplasia
-1,aplomb
-1,apnea
-1,apneic
-1,apocalypse
1,apocalypso
-1,apocalyptic
-1,apocalyptical
-1,apocalyptically
-1,apocalypticism
1,apochromatic
-1,apocrine
1,apocrypha
1,apocryphal
1,apodeictic
1,apodictic
1,apogee
-1,apogonidae
1,apolitical
1,apollyon
1,apologetic
1,apologetical
1,apologetically
-1,apologia
-1,apologise
-1,apologist
1,apologize
-1,apologue
1,apology
1,aponeurotic
1,apophatic
-1,apoplectic
-1,apoplexy
1,aporetic
1,aporia
1,aporrectodea
-1,aposematic
-1,aposematism
-1,apostacy
-1,apostasy
-1,apostate
-1,apostatise
-1,apostatize
1,apostle
1,apostolate
-1,apostolical
-1,apotemnophilia
1,apothecary
1,apothegmatic
-1,apotropaic
-1,appalachia
-1,appall
-1,appalling
-1,appallingly
-1,appalment
1,appanage
1,apparatchik
-1,appare
1,apparel
1,apparent
